,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
43,178.0,코스모화학,38500.0,600.0,-1.53%,1000.0,14787.0,38408.0,6.39,418418.0,-52.03,-10.55,
44,179.0,에스엘,31650.0,350.0,-1.09%,500.0,14701.0,46449.0,15.97,68334.0,4.38,18.83,
45,180.0,에스디바이오센서,11700.0,230.0,-1.93%,500.0,14564.0,124477.0,6.74,129386.0,-2.83,-16.22,
49,181.0,코스맥스,127900.0,2100.0,-1.62%,500.0,14516.0,11350.0,27.8,104011.0,25.41,12.11,
50,182.0,하이트진로,20650.0,150.0,-0.72%,5000.0,14483.0,70134.0,11.13,72076.0,41.3,3.16,
51,183.0,녹십자,123400.0,100.0,+0.08%,5000.0,14421.0,11687.0,18.71,30431.0,-54.15,-2.03,
52,184.0,SK가스,156100.0,2300.0,+1.50%,5000.0,14408.0,9230.0,7.43,9922.0,4.56,12.85,
53,185.0,효성티앤씨,332000.0,7000.0,+2.15%,5000.0,14368.0,4328.0,10.95,35101.0,15.42,7.46,
57,186.0,DGB금융지주,8470.0,20.0,-0.24%,5000.0,14327.0,169146.0,45.82,310460.0,3.32,7.38,
58,187.0,KBSTAR 머니마켓액티브,51970.0,10.0,-0.02%,0.0,14289.0,27494.0,0.03,123920.0,,,
59,188.0,종근당,107700.0,3600.0,-3.23%,2500.0,14189.0,13174.0,13.5,52479.0,6.68,29.56,
60,189.0,DL이앤씨,36450.0,500.0,-1.35%,5000.0,14104.0,38694.0,29.0,93748.0,8.33,4.12,
61,190.0,KBSTAR 200,38415.0,110.0,+0.29%,0.0,13964.0,36350.0,0.04,379361.0,,,
65,191.0,풍산,49700.0,800.0,-1.58%,5000.0,13928.0,28024.0,15.26,377774.0,8.9,8.22,
66,192.0,LX세미콘,85400.0,4600.0,+5.69%,500.0,13890.0,16264.0,27.16,480000.0,13.73,10.5,
67,193.0,대웅제약,119000.0,6100.0,-4.88%,2500.0,13788.0,11587.0,9.75,52695.0,11.33,17.7,
68,194.0,더존비즈온,44700.0,1150.0,+2.64%,500.0,13581.0,30383.0,16.56,282409.0,40.02,8.19,
69,195.0,코리안리,8140.0,190.0,-2.28%,500.0,13461.0,165368.0,25.74,1299635.0,4.18,5.91,
73,196.0,두산퓨얼셀,20500.0,500.0,-2.38%,100.0,13426.0,65494.0,12.21,219041.0,-197.12,-1.64,
74,197.0,대덕전자,26900.0,100.0,-0.37%,500.0,13293.0,49417.0,9.32,2526758.0,54.56,2.95,
75,198.0,KODEX 삼성그룹,9985.0,75.0,+0.76%,0.0,13260.0,132800.0,11.31,190593.0,,,
76,199.0,TIGER 2차전지테마,25495.0,425.0,-1.64%,0.0,13155.0,51600.0,0.21,837246.0,,,
77,200.0,TIGER MSCI Korea TR,16255.0,65.0,+0.40%,0.0,13020.0,80100.0,0.0,3451.0,,,
1,201.0,솔루엠,25950.0,50.0,-0.19%,500.0,12976.0,50006.0,20.39,304750.0,10.78,34.83,
2,202.0,GS건설,14980.0,80.0,-0.53%,5000.0,12820.0,85581.0,17.78,321079.0,-2.66,-10.54,
3,203.0,SK네트웍스,5750.0,70.0,-1.20%,2500.0,12723.0,221278.0,14.64,413975.0,-1916.67,-0.03,
4,204.0,KODEX Top5PlusTR,22940.0,35.0,-0.15%,0.0,12617.0,55000.0,9.09,15522.0,,,
5,205.0,현대백화점,53500.0,600.0,-1.11%,5000.0,12520.0,23402.0,22.93,100073.0,-15.69,-1.76,
